Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW230811_032116,C00:SEOBNRv5PHM,33.10735,37.2184,21.68839,2039.55663,0.36685,1.82871,-0.31776,0.51424,0.46794,1.45412,1.67524,3.19416,3.35532,1.53669,1.37994,3.60068,14.08538
GW231231_154016,C00:IMRPhenomXPHM-SpinTaylor,20.6907,22.94684,17.17214,1071.15791,0.2092,2.9935,0.025,0.31605,0.40072,1.71592,1.60257,3.07944,3.10703,1.51267,1.55513,3.37687,14.32407
GW231231_154016,C00:Mixed,20.67961,22.86037,17.20421,1073.38785,0.20961,2.98553,0.01925,0.35701,0.41248,1.69503,1.63882,3.12186,3.11827,1.55445,1.55897,3.33772,14.33051
GW231231_154016,C00:SEOBNRv5PHM,20.66865,22.77309,17.23527,1076.13658,0.2101,2.97903,0.01428,0.39785,0.42371,1.67394,1.67486,3.16248,3.12704,1.59517,1.56108,3.29995,14.33684
GW231123_135430,C00:IMRPhenomTPHM,154.37452,134.26973,110.10019,2699.08375,0.46647,3.4213,0.30466,0.90037,0.8364,0.96455,1.12583,3.63389,2.74656,1.56432,1.58173,4.25389,22.69738
GW231123_135430,C00:IMRPhenomXO4a,118.30984,145.20882,54.62308,3470.6322,0.57539,3.89014,0.5365,0.91444,0.48046,1.12883,1.28611,3.08398,2.70365,0.62162,1.37308,1.82441,22.66982
GW231123_135430,C00:IMRPhenomXPHM-SpinTaylor,119.39569,150.00374,93.02989,858.90012,0.1722,3.35009,0.32037,0.77638,0.62683,1.82388,0.90251,3.8104,2.50525,1.57639,2.08735,5.01946,22.37595
GW231123_135430,C00:Mixed,134.7328,138.66509,95.65999,2182.83757,0.38282,3.46146,0.34103,0.86697,0.7135,1.16987,1.20856,3.27233,3.13546,1.40234,1.51394,3.62527,22.58779
GW231123_135430,C00:NRSur7dq4,134.82118,129.32711,110.0197,1675.29768,0.30721,3.32948,0.28738,0.85887,0.86973,1.01784,1.62696,2.4958,3.69879,1.65724,1.17136,3.24553,22.56913
GW231123_135430,C00:SEOBNRv5PHM,146.79884,134.50317,110.49018,2214.16937,0.39346,3.31704,0.25654,0.88438,0.75523,0.91139,1.10065,3.34181,4.02914,1.59446,1.35033,3.77,22.62426
